anchor,positive
I want him to go there.,I want him to leave.
This isn't yours.,It's not yours.
We still don't know.,We don't know yet.
We should follow him.,We should follow her.
She will love her husband for good.,She'll love her husband forever.
They've said that they'll win.,They've said they'll win.
My telephone is out of order.,My phone was out of order.
We hope you succeed.,We hope that you succeed.
It's hot today. The temperature is up to 45° C.,Today is very hot; it is 45 °C in the shade.
Please don't forget to turn off the light before you go to bed.,Please remember to turn off the light before going to bed.
I don't want to make Tom sad.,I don't want to upset Tom.
Tom took off his pants.,Tom took his pants off.
Tom showed me a picture of his car.,Tom showed a picture of his car to me.
"Mom, can you give me money to buy candy?","Mummy, could you give me money to buy sweets?"
The boy was searching for the lost key.,The boy was searching for the key that he had lost.
They deny that they cried.,They deny they cried.
Tom is afraid of me.,Tom is scared of me.
It's perfectly harmless.,This is completely safe.
I had help.,I had a little help.
I'm sure you'll enjoy doing that.,I'm sure you'd enjoy doing that.
I want to hear it from Tom.,I'd like to hear that from Tom.
"Suddenly, it started to rain very hard.",All at once it began to rain heavily.
It looks like Tom has done that.,Tom seems to have done that.
It's my brother's.,It's my younger brother's.
Tom doesn't know I exist.,Tom doesn't know I'm alive.
I should have known!,I should've known.
Tom salivated.,Tom was salivating.
What was their problem?,What was the matter with them?
Each of them was given a prize.,All of them will get a prize.
Tom knows that Mary loves him.,Tom knows Mary loves him.
Tom was mentioned in the book as well.,Tom was also mentioned in the book.
I am unable to finish my homework.,I couldn't finish my assignments.
The office is empty.,The pantry is empty.
The job is not suitable for young girls.,This work is not suitable for young women.
That could come in handy someday.,That could come in useful someday.
Tom believes he could do that.,Tom believes he can do that.
He gathered his toys together.,He put away his toys.
I like fish.,I like fishing.
Genius is one per cent inspiration and ninety-nine per cent perspiration.,Genius is one percent inspiration and 99 percent perspiration.
You can't blame yourself.,You don't have to blame yourself for that.
Tom is a garbage collector.,Tom is a refuse collector.
Tom may have done this.,Tom might've done this.
We haven't found a solution yet.,We haven't yet found a solution.
I am selling a new car.,I sell a new car.
Mary's baby's sex has become apparent.,The sex of Mary's baby has become apparent.
I oiled my bicycle.,I've oiled the bicycle.
I hope Tom is going to be OK.,I hope Tom will be OK.
They were on duty by turns.,They took turns on duty.
I think someone is calling you?,I think somebody is calling you?
Tom will thank me.,Tom is going to thank me.
Is it popular?,Are you popular?
You should have stopped.,You should've stopped.
He abandoned his family and moved to Tahiti.,He left his family and went to live in Tahiti.
They promised that they'd tell us.,They promised they'd tell us.
You must come quickly.,You need to come quickly.
"I don't understand Dutch, because it's difficult.",I don't understand Dutch. It's difficult.
"Knowing their languages is not enough to communicate effectively, because the methods of communication are determined by their cultures.",The methods of communication are determined by their cultures.
I have lived here for thirty years.,I've lived here for 30 years.
They were dreaming.,They dream.
Things got out of hand.,It's all gotten out of control.
He made much of his teacher's advice.,He valued the professor's advice.
I am a widow.,I'm a widower.
I'm Tom's supervisor.,I'm Tom's mentor.
Few students knew his name.,Only a few students knew his last name.
There is nothing in the world but teaches us some good lesson.,There is nothing in the world that doesn't teach us a good lesson.
Tom is planning to major in zoology.,Tom is planning on majoring in zoology.
I visited the village where he was born.,I visited the village he was born in.
They didn't see anybody they recognized.,They didn't see anyone they recognized.
Am I a suspect?,Am I under suspicion?
I have dinner now.,I'm having dinner now.
Provoking someone to commit suicide is a crime.,Incitement to suicide is a crime.
The box is made of wood.,This box is from Jobe.
A taxi is expensive.,Taxis are expensive.
I met her on my way to school.,I met her along the way to school.
Zip up your coat.,Zip your coat up.
My mother is always poking her nose into my private life.,My mother always gets involved in my private life.
That's very comforting.,That's very reassuring.
It is hard frozen.,It's frozen hard.
Just admit that you are wrong.,Just admit that you're wrong.
What is it really about?,What's this really about?
This is a pen.,It's a pen.
I found out something.,I've found something out.
This must be changed.,This needs to change.
He is on good terms with his classmates.,He gets along well with his classmates.
You should've kissed Tom.,You should have kissed Tom.
Tom knows precisely what he's doing.,Tom knows exactly what he's doing.
I am free of debt.,I have no debt.
I could not sleep because of the noise.,I couldn't fall asleep because of the noise.
He never touched wine.,He didn't drink wine.
I've sent them home.,I made them go home.
My brother takes a new book out of the library every day.,My brother borrows a new book from the library every day.
Tom was never violent.,Tom was never cruel.
He and I are classmates.,He is my classmate.
Recently I moved to another apartment.,"Recently, I moved to a new apartment."
Tom will probably be unbiased.,Tom is likely to be objective.
Tom is not a happy man.,Tom isn't a happy man.
The problem will resolve itself eventually.,The problem will eventually solve itself.
He purposed writing something for the paper.,He thought that he would write something for the newspaper.
"Later, it turned out that Tom had been right.","Later, Tom turned out to be right."
Translating languages is very difficult.,It's very difficult to translate this word.
This material has no give.,This material isn't elastic enough.
All was quiet except that buses sometimes ran.,"It was once very peaceful there, but now you'll sometimes hear the sound of passing vehicles."
Is there anyone doing that now?,Is there anybody doing that now?
My father bought this house for us when we got married.,When we married my parents gave me this house.
You're not God.,You're not a god.
Can you believe we are in Cheboksary‽,Can you believe it? We’re in Cheboksary!
These birds are different colors.,These birds have different colours.
I don't think she takes after her mother.,I don't think that she looks like her mother.
You seem to hate Tom.,It seems like you hate Tom.
Would Tom do that?,Would Tom do it?
He's not a man to waste time.,He is not a man who wastes his time.
Physics be hanged!,The hell with physics!
Tom has a lot of good qualities.,Tom has many good qualities.
They were going to shoot him.,They were going to kill him.
Tom has been told to leave.,Tom was told to leave.
The tape recorder was lying on the table.,There was a tape recorder on the table.
Ann can't find a job.,Ann cannot manage to find a job.
Don't leave town.,Please don't leave the city.
A burnt child fears the fire.,A burnt child dreads the fire.
He won the race easily.,He won the race easily without being fully extended.
"I'd like some cider, please.",Cider please.
What a beautiful painting. Who gave it to you?,What a beautiful painting. Who did you get it from?
They try to do right and not look at what others are doing.,They try to do what's right and not worry about what others do.
Tomorrow is Christmas Day.,Tomorrow is Christmas.
A six-figure income is not uncommon for physicians.,A six-figure income isn't uncommon for physicians.
We had no school today!,We didn't have school today.
I wish I could buy that guitar.,I would love to be able to buy that guitar.
I saw Tom smile.,I saw that Tom was smiling.
I'm Tom's mom.,I'm Tom's mother.
The party was composed of six girls and four boys.,The group was made up of six girls and four guys.
I heard you guys whispering.,I heard you whisper.
I read the poem for my child.,I read the song to my child.
Much depends upon the result.,There's a large risk involved.
I am looking for Andrey. Do you know where he is?,I was looking for Andy. You don't know where he is?
When did you see her dancing with him?,When did you see him dancing for her?
I think Tom did a fine job.,I think Tom has done a great job.
Do you know anyone from Australia?,Do you know anybody from Australia?
Tom will never catch me.,Tom is never going to catch me.
"Sorry, I wasn't paying attention.","Sorry, I was distracted."
I'd like to know more about Tom.,"I want to know more about you, Tom."
Tom should've said more.,Tom should have said more.
I just don't love Tom.,I just don't like Tom.
It's inhumane.,It is not humane.
She's a pacifist.,He's a pacifist.
She can understand everything I'm saying.,She can understand everything I am saying.
Tom is working on another novel.,Tom is working on a new novel.
Tom will have to deal with that on his own.,Tom is going to have to deal with this on his own.
I am proud to be a part of this project.,I'm proud to be working on this project.
Everyone's still asleep.,Everyone is still asleep.
Tom told me that he thought Mary was ill.,Tom told me he thought that Mary was ill.
It's not worth much.,It isn't worth much.
"She is reputable, rational and above all pretty.","He is reputable, intelligent, and above all, good looking."
Doing that's not a good idea.,Doing that isn't a good idea.
He was described as an unusually passionless person.,He was described as an extraordinarily passionless man.
Tom hasn't been expelled yet.,Tom hasn't yet been expelled.
You don't have to tell that to your parents.,Please don't tell this to your parents.
I installed a new software program yesterday on my computer.,I installed some new software yesterday on my computer.
Let's keep this private.,Let's keep it private.
But why did he do it?,But why did she do it?
The 14th of November is the World Diabetes Day.,World Diabetes Day is on the 14th November.
Why are people scared of them?,Why are people afraid of them?
Don't worry. Everything is under control.,Don't worry. Everything's under control.
It wasn't hers.,It wasn't his.
Whom the Lord loveth he chasteneth.,The Lord chastens those he loves.
I didn't even notice.,I hadn't even noticed.
Mary did that on her own.,Mary did that by herself.
Tom wished Mary could've gone with him.,Tom wished Mary could have gone with him.
I have a large number of books on my bookshelf.,I have numerous books on my bookshelf.
Coal is a dying industry.,The coal industry is dying.
Why didn't you tell her?,Why haven't you told him?
Tom always drinks his coffee black with no sugar.,Tom drinks black coffee without sugar.
I knew this was a waste of time.,I knew it would be a waste of time do that.
May all your wishes come true!,May all my dreams come true.
I looked all over for Tom.,I've looked for Tom everywhere.
Did somebody hear something?,Did someone hear something?
I'm not staying.,I won't be staying.
You cannot expect such a good chance again.,You won't have the same luck twice.
They said that they felt homesick.,They said they felt homesick.
She said that she isn't sick.,She said she wasn't sick.
I checked with him.,I checked with her.
I spoke in French.,I spoke French.
I think that Tom lied to me.,I think Tom was lying to me.
Is your house big?,Do you have a big house?
"Pineapples are no good. When I eat them, the inside of my mouth gets itchy.","I can't eat pineapple. When I do, my mouth gets itchy."
Why is she so popular?,Why is he so popular?
She didn't know what to do with the problem.,I don't know how she should deal with that issue.
Sami arrived at Layla's house.,Sami showed up at Layla's house.
I think both Tom and Mary are shy.,I think Tom and Mary are both shy.
3 to the third power is 27.,3 cubed is 27.
We have to take him to the hospital immediately; he is seriously injured!,We have to rush him to the hospital. He's badly injured.
Thank you for giving this to me.,Thank you for giving me this.
Don't tell them.,Don't tell him.
I don't think Tom is being honest.,I don't think Tom was honest.
I'm not sure where Tom is.,I don't know exactly where Tom is.
Tom was in a big hurry.,Tom was in a great hurry.
Who is absent?,Who's missing?
I felt nauseous.,I was feeling nauseous.
He is not content with his present salary.,His salary doesn't satisfy him.
I will go to America tomorrow.,I'm going to America tomorrow.
Tom has been busy all day.,Tom was busy all day.
Tom is going to be in charge.,Tom will be in charge.
Tom told me that I'm safe.,Tom told me I'm safe.
She told me that she'd try.,She told me she'd try.
Tom will join us later.,Tom is going to join us later.
I study English two hours a day on an average.,I study English for two hours in the middle of the day.
I have absolute trust in him.,I trust him completely.
His ambition made him work hard.,"He has ambition, so he works hard."
Tom couldn't defend himself.,Tom wasn't able to defend himself.
"How did you fall into the swamp? ""Someone pushed us in.""",How did you fall into the swamp? Someone shoved us.
Tom is afraid of snakes.,Tom is terrified of snakes.
Tom said you speak French.,Tom said you spoke French.
I have received a respite.,I have gotten a respite.
How many hours are left?,How many watches are left?
May I use this telephone?,"Will you let me use your telephone, please?"
He boarded with his aunt.,He was living with his aunt.
"If you start at once, you'll arrive by six o'clock.","If you leave now, you'll arrive before six."
I will become God of the new world.,I am the god of the new world.
"Heads I win, tails you lose.","Either way, you lose."
I like bananas more than apples.,I prefer bananas rather than apples.
Ignore Tom.,Forget Tom.
I love blackberries.,I like raspberries.
You must not violate the regulations.,You are not allowed to violate the rules.
Tom promised he won't do that.,Tom promised not to do that.
Thank you for your thorough explanation.,Thank you for your detailed explanation.
Tom is someone you can't trust.,Tom is somebody you can't trust.
I passed all my tests.,I have passed all my exams.
I will stay home if it rains tomorrow.,I'll stay home in case it rains tomorrow.
My father stopped smoking.,Father gave up cigarettes.
The door is ajar.,The door is half open.
Lojbanistan borders Esperantujo.,Lojbanistan is on the border with Esperantujo.
I was confused with her expression.,I was confused by her expression.
She called me many a time.,She called me many times.
How much snow have you had?,How much snow is there at your place?
That is plastic.,That's plastic.
I don't want to hear another word about it!,I don't wanna hear another word about it.
I'm not that kind of girl.,I'm not like that.
Tom knew that I was skeptical.,Tom knew I was skeptical.
She leaned against his shoulder.,She leaned on his shoulder.
I like to walk in the rain.,I like running when it rains.
Illness prevented me from going to school.,"I got sick, and so couldn't come to school."
I'm no longer planning to do that.,I don't plan to do that anymore.
The boy may have told a lie to please his parents.,"The boy told a lie, probably to cheer up his parents."
Do you want a little company?,Would you like a little company?
This milk has a peculiar taste.,This milk tastes odd.
Tom must've had a reason.,Tom must have had a reason.
I do believe in ghosts.,He believes in the existence of ghosts.
"English is studied in China, too.",English is also studied in China.
Tom has probably already done that.,Tom has probably done that already.
I was late because of heavy traffic.,"Because there was traffic, I was late to the meeting."
Tom is already married.,Tom has a wife.
Could you please put the baby to bed?,Please put the baby to bed.
Is he breathing?,Are you breathing?
The witch cursed the poor little girl.,The witch laid a curse on the unfortunate little girl.
What'll you give us?,What are you going to give us?
Didn't you know that Tom was going to be there?,Didn't you know that Tom would be there?
I want to study German.,I will study German.
You're very emotional.,You're so emotional.
I used to be like Tom.,I was like Tom once.
This one is prettier.,This one's cuter.
What time will be right for you?,When is it convenient for you?
I often use SSH to access my computers remotely.,I often use SSH to remotely connect to my computer.
Where would you like me to put this?,Where should I put it?
We definitely plan on doing that.,We definitely plan to do that.
Tom died in a traffic accident.,Tom was killed in an automobile accident.
"All human beings are members of one frame, since all, at first, from the same essence came.","Adam's sons are body limbs, to say; for they're created of the same clay."
Tom and Mary took their jackets off.,Tom and Mary took off their jackets.
He cannot stop it.,He cannot stop him.
Tom is a football player.,Tom is a soccer player.
It was impossible to understand his questions.,I don't understand the meaning of the question.
How long do you have?,How much time do you have?
Have you ever seen a UFO?,Have you ever seen an unidentified flying object?
How come none of my babysitters ever looked like you?,Why didn't any of my babysitters ever look like you?
I said that I would try.,I said I'd try.
I didn't help anybody.,I didn't help anyone.
She is giving the baby a bath.,She is bathing the baby.
Both Tom and Mary made mistakes.,Tom and Mary both made mistakes.
They said that they were irritated.,They said they were irritated.
I am Argentinean.,I'm Argentinian.
Tom started driving.,Tom began to drive.
Tom can't read or write.,Tom can neither read nor write.
Get out of here immediately!,Get out of here right now.
There followed a long silence.,There followed a prolonged silence.
There's something important I need to tell you.,I have something important to tell you.
Where did you put the screwdriver?,Where did she put the screwdriver?
In Nara there are lots of deer!,There are a lot of deer in Nara.
They said they're tired.,They said that they're tired.
I love that store.,I love this store.
"Sorry, I must have dialed the wrong number.",I'm sorry. I got the wrong number.
Math is the last subject that I want to study.,Mathematics is a subject which I want to study the least of all.
I wish we had done that.,I wish we'd done that.
She is pigeon-toed.,He is pigeon-toed.
I had lunch with him today.,I had lunch with her today.
She was kind enough to give me good advice.,She was so kind as to give me advice.
He had trouble breathing.,He had respiratory problems.
Ah! Everything is clear now.,Ah! That clears up everything.
She pulled down the blinds.,She pulled the blinds down.
Today is Sunday.,It's Sunday today.
I've found another job.,I got another job.
"Which do you like better, meat or fish?",Do you prefer meat or fish?
Tom's car was in the driveway.,Tom's car is in the driveway.
"As he grew older, he became more obstinate.","As he gets older, he's getting more and more stubborn."
The sea is rough.,The sea is raging.
Please fill this bottle with water.,Please fill this water bottle.
I'm conservative.,I'm old-fashioned.
This story is about Tom.,This is a story about Tom.
I've already had two coffees.,I've already had two cups of coffee.
He is deep in study.,His study absorbs him.
Does Tom like tomatoes?,Tom likes tomatoes?
It's late. You have to go home.,It's late already. Go home.
My love for him has already cooled.,The love I feel for him has already grown cold.
The ambassador returned.,The ambassador has returned.
Tom is convinced he's right.,Tom is persuaded he's right.
She traveled round Japan.,She traveled around Japan.
Mary hasn't called.,Mary hasn't called yet.
It's not unprecedented.,It isn't unprecedented.
The rainy season is near at hand.,It'll soon be the rainy season.
Tom didn't hear anything.,Tom heard nothing.
His name has completely gone out of my mind.,I can't recall her name.
You could've said no.,You could have said no.
He has an inferiority complex.,"He has an inferiority complex, doesn't he?"
I only slept for three hours.,I slept only three hours.
"You don't like to travel, do you?","You don't like traveling, do you?"
The door was partially open.,The door was half open.
I have little money now.,I have almost no money now.
I'm not proud of that.,This is not something I am proud of.
We aren't bluffing.,We're not bluffing.
I don't know exactly what it means.,I'm not sure what it means.
We are determined to protect the motherland.,"If you do this, you're mistaken."
How much did you have to drink?,How much have you had to drink?
Stay here with him.,Stay here with her.
Tom can run fast.,Tom runs very fast.
He stayed in the hotel.,He's staying at a hotel.
Is that Tom's car?,Is this Tom's car?
Why take the risk?,Why take that risk?
Tom didn't mean to hurt you.,Tom didn't intend to hurt you.
What do you think of them?,What do you think about them?
He didn't study at all.,That never worked.
Tom bought himself a dog.,Tom bought a dog for him.
Tom raised his hands.,Tom raised his arms.
This word does not translate well.,This word doesn't translate very well.
She is sensitive to current fashions.,She's highly influenced by current trends.
Aren't you alone now?,Aren't you alone right now?
You apparently should've done that.,You apparently should have done that.
It is raining now.,It's raining now.
We can understand everything he's saying.,We can understand everything he is saying.
It's four against you. You'll be beaten up.,There are four teamed up against you. You’ll surely be thrashed.
"What with good fortune, and his own effort, he won the first prize in the contest.","Through his own efforts and a bit of luck, he won first prize in the contest."
How did you know Tom was going to kiss Mary?,How did you know Tom would kiss Mary?
Do we need to wait for him?,Should we wait for him?
It is lucky that the weather should be so nice.,We're lucky that the weather is so nice.
Tom should've chosen something else.,Tom should have chosen something else.
I saw a boat above the bridge.,I saw a boat upstream of the bridge.
Tom will be busy.,Tom is going to be busy.
"You believe that, don't you?","You believe it, don't you?"
Tom didn't seem to be very happy.,Tom didn't look very happy.
Tom signed a non-disclosure agreement.,Tom signed an NDA.
Come here and have a look at it.,Come here and give it a look.
No other dog is bigger than this.,There is no dog which is bigger than this one.
Tom thought that Mary was safe.,Tom thought Mary was safe.
Are these real?,Is any of this true?
I hope that doesn't happen again.,I hope this never happens again.
I thought Tom wouldn't come.,I thought Tom wasn't coming.
I will choose one.,I will choose one of them.
He said that he liked snow.,He said he liked snow.
Tom never told anybody about that.,Tom never told anyone about that.
I was offended at his behavior.,I was offended by his behavior.
"Fortunately, the weather was good.",With a little luck the weather will be good.
A puppet does not know that it is being controlled.,A puppet doesn't know that it is being manipulated.
Come and see me.,Come to visit me.
I should've been more specific.,I should have been more specific.
"I'm still alive, and that's the main thing, Father says.",Dad says the most important thing is that I'm alive.
I see her every day.,I see him every day.
Tom bought a model train set for his son.,Tom bought his son a model train set.
They claim that they're innocent.,They claim they're innocent.
Tom did it all by himself.,Tom did everything by himself.
Tom deserves a pay raise.,Tom deserves a raise.
I think it a pity that he told a lie.,I think it's a pity that he lied.
"I'd like some tea, please.","A cup of tea, please."
I want to become a musician.,I want to be a musician.
What's happening right now?,What's going on right now?
You certainly fooled him.,You certainly fooled her.
Keep your eyes on the road.,Watch the road.
Tom and Mary are both dead.,I heard that Tom and Mary have both died.
"For the love of Heaven, don't get angry.","I'm begging you, don't be mad."
Where did you go yesterday?,Where were you yesterday?
I'm not leaving without you.,I'm not going without you.
Tom was always fair.,Tom has always been fair.
I'm still working in Australia.,I still work in Australia.
Tom is unimaginative.,Tom isn't artistic.
Tom abandoned the idea.,Tom abandoned that idea.
I don't think I can win.,I don't think I'll be able to win.
This bridge looks secure.,This bridge looks steady.
The train station will be closed from tomorrow.,That station will be retired as of tomorrow.
The water is on.,The water is running.
You're the apple of my eye.,You are the apple of my eyes.
"Last I met him, he was very well.","The last time I saw him, he was very healthy."
Both the brothers are dead.,The two brothers have died.
Is there any hope of his success?,Does he have any chance of succeeding?
I just got up.,I just woke up.
Tom felt lonely.,Tom felt alone.
"It will be difficult, but not impossible.",It'll be difficult but not impossible.
I am Thai.,I'm Thai.
She is always complaining of her poor health.,She's always complaining about her ill health.
I requested help.,I shouted for help.
I plan to refuse to do that.,I plan on refusing to do that.
Everyone knows that we're rich.,Everyone knows we're rich.
Tom begged Mary for forgiveness.,Tom apologized to Mary.
"How are you, Tom?","Tom, how's it going?"
Tom got blamed even though it wasn't his fault.,Tom was falsely accused.
Both Tom and Mary kept quiet.,Tom and Mary both kept quiet.
There's a possibility that it's real.,There's a possibility it's real.
The sun has not risen yet.,The sun isn't up yet.
He can swim.,He is capable of stealing.
Here is my air ticket.,Here is my ticket.
I don't want a job in Boston.,I don't want to work in Boston.
Tom isn't supposed to do that.,Tom isn't expected to do that.
She ironed her shirt.,He ironed his shirt.
That's not something I would joke about.,That's not something to joke about.
Do you know what happened to Tom?,Do you know what's become of Tom?
Tom is a bundle of nerves.,Tom is a nervous wreck.
Will you please calm down?,Would you please be quiet?
How do you know that it's his?,How do you know that belongs to him?
I don't think you're boring.,I don't think that you're boring.
She as well as her friends is fond of music.,She and her friends love music.
Tom knew what Mary would say.,Tom knew what he would say to Mary.
Mary said she doesn't know Tom.,Mary said she didn't know Tom.
The army continues its anti-terrorism operation.,The army is continuing its antiterrorist operation.
I heard Tom talking to Mary.,I heard Tom speaking to Mary.
Tom and I never should've done that.,Tom and I never should have done that.
There was nothing left over.,There's nothing remaining.
Tom had to go back to Boston.,Tom had to return to Boston.
She's a tease.,He's a pain in the ass.
"I admit that, without him, those ten years of my life would have been empty and without goals.","I admit that if it weren't for him, the next ten years of my life would have been empty and devoid of purpose."
Tom is hiding something from us.,There's something Tom is not telling us.
Who gave you these flowers?,Who gave you those flowers?
Don't take my picture!,Do not take a picture of me!
Tom looked like he was uncertain.,Tom seemed to be uncertain.
You had better take an umbrella with you in case it rains.,You should take an umbrella in case it rains.
Tom has already gone home.,Tom has gone home already.
Put it here.,Put that here.
A cloud of hornets set at the children.,A swarm of hornets attacked the children.
It can't possibly work.,Maybe it'll work.
Tom knew Mary wasn't likely to win.,Tom knew Mary was unlikely to win.
You're adventurous.,You're demanding.
He worked hard so as to save more money.,He worked hard to save up some money.
He is a devil in human shape.,He's a wolf in sheep's clothing.
The sun descended behind the mountains.,The sun went down behind the mountains.
That wasn't hard to do.,That wasn't difficult to do.
How do we do that?,How are we going to do that?
The shopping center is a mile further down the road.,The shopping center is one mile ahead.
He kept on laughing at me.,He continued to mock me.
There doesn't seem to be anyone home.,It seems that there is also nobody at home.
Will you give me something cold to drink?,Give me something cold to drink.
She owns a very big house.,She is the owner of a very big house.
"Tom is leaving, isn't he?","Tom is going, isn't he?"
You should've had some pie.,You should have had some pie.
He lives in a small town near Osaka.,He lives in a village near Osaka.
Tom may be biased.,Tom might be biased.
Tom is a good volleyball player.,Tom plays volleyball well.
I think Tom is dangerous.,I do think that Tom is dangerous.
I'm confident Tom can fix it.,I'm sure that Tom can fix this.
The sea is not clear.,The sea isn't clear.
She notified the police.,You called the police.
Tom told me that he thought Mary was ambitious.,Tom told me he thought that Mary was ambitious.
The idea is not new.,That isn't a new idea.
I know that's no good.,I know that isn't good.
Iron is used in building ships.,Iron is used in shipbuilding.
The puppy licked her on the cheek.,The puppy licked her cheek.
I'm calling him back.,I'm calling her back.
The rabbit is eating the carrot.,The rabbit is eating a carrot.
We've released them.,We released them.
I told him we were friends.,I told her we were friends.
You should have come to us.,You should've come to us.
He died a few days later.,"A few days later, he was dead."
I couldn't write it down.,I wasn't able to write it down.
I didn't know you were coming here either.,"I didn't know that you'd come, too."
"Thou wilt come to the brawling stream, not falsely named.",You will arrive at the accurately named Violent River.
I'm best at math.,Math is what I'm best at.
Why do you put up with that?,Why do you permit it?
The young men of Japan are apt to jump on the bandwagon.,The youth of Japan have a tendency to follow fashion.
Please tell me what it was.,Please tell me what that is.
He always forgets his money.,You always forget your money.
Sami's house collapsed.,Sami's house was demolished.
Today is Wednesday.,It's Wednesday.
I'd better drive you home.,It's better if I drove you all the way home.
This tree is approximately three hundred years old.,This tree is about 300 years old.
We are lovers of the beautiful.,We love beauty.
I've been doing some checking.,I did some checking.
Tom told me that he thought Mary was ashamed.,Tom told me he thought that Mary was ashamed.
We can't come to Boston now.,We can't go to Boston now.
Tom brought some clothes for Mary.,Tom brought Mary some clothes.
Who is the girl standing at the door?,"Who is that girl, standing by the door?"
I need a pencil.,I need chalk.
I made an appointment to see him at seven o'clock.,I met with him at seven.
An uneasy conscience betrays itself.,That's his guilty conscience speaking.
The door remained closed.,The doors were closed.
"Some eggs were good, but the others were bad.","Some eggs weren't rotten, but the rest of them were."
Tom looked down at the ocean.,Tom looked out at the ocean.
The car crashed into the truck.,The car collided with a truck.
When do you plan to go?,When do you plan on going?
We'll stay with him.,We'll stay with her.
You made mistakes.,He made mistakes.
It's our only hope.,It's our one hope.
Nobody will believe that.,No one will believe him.
The earthquake shook the houses.,The earthquake caused the house to rattle.
I disassembled one.,I lighted one.
Tom snapped his fingers.,Tom clicked his fingers.
That girl just drives me wild.,This girl is driving me crazy.
Tom came out of his hiding place.,Tom came out from where he was hiding.
We all can do better.,We can all do better.
Let's open the window.,We have to close the window.
I think I should've helped Tom.,I guess I should have helped Tom.
Tom told Mary that he thought John wasn't barefoot.,Tom told Mary that he didn't think John was barefoot.
Tom is pretty busy right now.,Tom is very busy at the moment.
May I hold your hand?,Is it OK if I hold your hand?
Do you have a pen on you?,I wonder if you have something to write with.
"And say, ""My Lord, increase me in knowledge.""","But say, ""O my Lord! advance me in knowledge."""
Which one does Tom think is good?,"Tom, which do you think is better?"
I lied to you.,I lied to them.
I'll win no matter what it takes.,I'll win using whatever means it takes.
We didn't see him anywhere.,We didn't see her anywhere.
I learned a lot from Tom.,I've learned a great deal about Tom.
I assume you're the Tom everybody's been telling me about.,I assume that you're the Tom everyone's been telling me about.
The three neighbours helped each other.,The three neighbors helped each other.
I can't talk to him.,I can't speak to him.
Much legal language is obscure to a layman.,Legal terminology is usually incomprehensible to non-specialists.
He takes the initiative in helping his mother do the housework.,He voluntarily helped his mum clean.
He's moved away.,You moved.
Tom knew that I was nervous.,Tom knew I was nervous.
This is the only guidebook that was recommended to me that is really useful.,This guidebook is the only one I found to be really useful out of all the ones recommended to me.
You should allow Tom to do that.,You should let Tom do that.
I hope you're right.,I hope you're correct.
"Once you have begun to do something, don't give up.",Don't give up halfway.
I'm not a bot.,I'm not a robot.
I'll wait for you in here.,I'll be here waiting for you.
You look cute.,You look pretty.
I prefer cats to dogs.,I like dogs more than cats.
I really like a cloudy sky. Why? I don't even know.,"I especially like cloudy skies, why? I don't know."
We never use sugar.,We never use any sugar.
Tom says he's not enjoying himself.,Tom says he isn't enjoying himself.
Please put on your shoes.,Please put your shoes on.
Tom knows exactly how Mary feels.,Tom knows precisely how Mary feels.
I'd have done that if Tom had asked me to.,I'd do that if Tom asked me to.
We must leave early.,We've got to leave early.
I know that Tom can swim.,I know Tom can swim.
Portugal is not an exception.,Portugal is no exception.
They told jokes about some of his movies.,They poked fun at some of his films.
The birds flew to the south.,The birds are flying south.
So much for today's lesson.,We will end today's lesson here.
I'll let you speak to Tom.,I'll let you talk to Tom.
There was little water in the well.,There is little water in this well.
You could've written.,You could have written.
"Every year, the summers get hotter and the winters get colder.","Year by year, summer becomes warmer and winter becomes cooler."
Everyone was horrified.,Everybody got scared.
I want to rest.,I want to take a break.
"Tom is strong, isn't he?","Tom is resilient, isn't he?"
You should've told me earlier.,You should have told me earlier.
"With a sudden chill weakening every part of his body, Aeneas groans and, stretching both hands to the stars, cries out thus: ""O thrice and four times blessed, whose lot it was to perish before the faces of their fathers under the high walls of Troy!""","Then AEneas' limbs with fear / were loosened, and he groaned and stretched his hands in prayer. / ""Thrice, four times blest, who, in their fathers' face / fell by the walls of Ilion far away!"""
Tom denied being Mary's son.,Tom said that he wasn't Mary's son.
This car is going 60km an hour.,This car is going 60 kilometers an hour.
I still think we should've said no.,I still think we should have said no.
I'm convinced that'll eventually happen.,I'm convinced that'll happen eventually.
It's very abused.,It's very exploited.
Tom paid no attention to Mary.,Tom didn't pay any attention to Mary.
You need not have woken me up.,You didn't have to wake me up.
Let's have sushi.,Let's eat sushi.
Tom plans to go today.,Tom plans on going today.
Can I have one?,Can I have one of those?
Did you kill Tom?,Did you murder Tom?
When are you moving into your new house?,When are you going to move?
Tom wants more.,Tom wants something more.
I've forgiven you.,I forgave you.
I haven't told anyone anything.,I never said anything to anybody.
We'll wait for Tom.,We'll be waiting for Tom.
I must've been angry.,I must have been angry.
They told me that they're unafraid.,They told me they're unafraid.
You often find that sympathy gives place to love.,You often find that sympathy turns into love.
The game was put off until next week.,The game was postponed until next week.
Marilyn Monroe died 33 years ago.,It's been 33 years since Marilyn Monroe died.
The wind drifted the sand.,The wind drove the sand.
Tom's hands were dirty.,Tom's hands are dirty.
Fortunately he didn't die in the accident.,Fortunately he survived the accident.
The cat is sleeping on the chair.,A cat sleeps on a chair.
You're not going to like what I'm about to say.,You won't like what I'm going to say.
You should turn off the mobile phone.,You should turn off your cell phone.
I'm on time.,I was on time.
They sell fish and meat.,They are selling fish and meat.
