anchor,positive,negative
"hi , good just got off work as a nurse .",i am nurse .,i am a physical trainer .
i am employed a traditional number of hours .,i save lives .,i am happily retired .
i hate cleaning ! i would rather be on facebook .,i do not like to clean house .,i love to clean .
"really , i am vegan now but used to eat meat all the time .",i used to be a meat eater but i am now a vegan .,i am primarily a meat eater .
"football , camp and surf , lol .",my favorite sport is football .,my favorite team is the washington nationals .
my partner and i have recently seperated .,i am currently single .,i am in a relationship .
"has always been a dream of mine to own a restaurant , i like pink floyd .",my favorite band is pink floyd .,my favorite band is creed .
"i am a proud mother of two handsome boys , and you ?",i am a mother of two beautiful boys .,"i am a proud mother of ten handsome boys , and you ?"
i just finished cooking dinner . i love to cook .,cooking is my passion !,i do not like to cook .
no i work at a club in houston .,i am a waitress at a popular houston club .,i work 9 to 5 job .
yay it was better than painting !,i paint in my free time .,i do not enjoy using acrylics .
reading is what i usually do .,i love reading .,i do not like reading scientific information .
sure but i am a security guard and i am at work now .,i got hired as a security guard .,i am in charge of coaching girls sports .
mostly selling online compact discs that i gathered up while working the circuit .,i recently started to work online .,i work at the deli counter .
"oh , i work a fair bit at a doctors office .",i work at a doctor s office .,i work in computer art animation .
i enjoy using my car .,i sometimes drive fast .,i hate driving in the summer my vehicle is so hot .
i am current working as pharmacists .,i am a pharmacist .,"i am a professional musician , i won some prizes for music ."
about seven years . my wife and three kids love it .,i am married and have three kids .,i currently am engaged to my high school boyfriend .
hey i am doing great spending the day off with my wife and kids .,i love kids and am a doctor .,i work as an accountant .
i have 3 sons and 5 grandchildren . i take my grandkids on my boat sometimes .,i own a boat .,i have 3 sons and fourteen grandchildren . i take my grandkids on my boat sometimes .
"as long as the sandwich has no meat or dairy , i am good with that .","i do not eat meat but eggs , cheese and milk are fine .",i eat exclusively meat .
yeah . i can empathize . i cant wait to retire . bakery here i come .,when i retire i want to open a bakery .,i dream of becoming a famous actress .
a dog and the horses . between the kids and the pets i stay pretty busy .,i like horses .,wild horses as possessions is not a good idea .
i am a roofer not as exciting .,i am a roofer .,i am a teacher .
i think they are tall . i wish i could reach the cookie jar like them .,i wish i was taller so i could reach the cookie jar .,i am 6 foot tall .
yeah i think so . my family migrated to the us when i was 5 years old .,my family migrated to america when i was five .,i live in california .
my job at the brewery has blessed me financial to allow me .,i am a financial analyst for a brewery .,i am in the military .
i prefer to paint my murals with acrylics and art class is my favorite .,i like to work with acrylics .,i do not enjoy using acrylics .
well i go to elementary school .,i am currently in elementary school .,i am a geology major at alabama university .
"well , it is funny that you should say that . i work as a zookeeper .",i work at the zoo .,i work for a beer distributor .
do you work ? i work at a cafe waiting tables .,i wait tables at a cafe .,i work at an accounting firm .
i love all sorts of fresh vegetables .,i always eat my vegetables .,i do not like fresh greens .
well i am pregnant an married so not really .,i am currently pregnant with my second child .,i am not married .
yes i go all the time . with my family .,i love to travel with my family .,i never go traveling with anyone .
"ha , sounds like fun , before this i used to work in a box making factory .",i used to work at a factory making boxes .,i was a child actor .
awesome . i am all the way in russia .,my country is russia .,i recently moved to sweden .
i like to listen to rap while cooking dinner .,i like listening to other rap music too .,i really do not enjoy preparing food for myself .
what do you do ? i work at a cafe to wait tables .,i wait tables at a cafe .,i work in a bank .
"that is good stuff , i like some meat as well though .",i love to eat meat .,i don t like to eat meat .
i have 2 dogs as well .,i have two border collies .,i have four dogs as well .
most of our family has been in the navy . thank you ! !,i am in the navy .,i work at a drive thru .
i love traveling too . hate mini marts though because i have a sweets weakness .,my weakness are sweets .,i do not eat sugar .
"i severed my spinal cord sky diving , it was crazy . luckily i can work from home now .",i like working where i live .,i work in a warehouse .
hey how are you . how was your day .,i hope it to become a doctor one day .,i want to be a movie director when i grow up .
"are you a male or female , i am a woman tall and blonde .",i am tall and blonde .,i am rather short .
"you are very helpful friend . nice . what do you thin about acting , i hate acting .",i don t like acting .,i like to act .
i live in the long horn state .,i live in texas .,i live on a small farm in ohio .
"i love being a happy person , and especially when i fish , you should try .",i am a happy person .,i am very hard on myself and have low self esteem .
i love writing and learning . i am hoping to teach in an elementary school .,i want to teach kids in elementary school .,i want to be a librarian .
"yea , i bartend and get to vent all the time .",i serve at a bar on the weekends .,i work in an office .
i am going to school to earn a degree .,i go to restaurants frequently .,i am in high school .
do you like mexican food ?,i hate mexican food .,my favorite food is mexican food .
i tend to work myself up .,i have mental issues .,i go to the stable once a week .
cats are not too hard to handle . they do not take up too much space .,i like felines .,i hate cats .
maybe would not sleep as much that way i can look for a band to join .,i want to be in a band someday .,i wanted to be a nurse .
i finished school .,i finished college 2 years ago .,i am a student .
i am a mother of two beautiful boys .,i have two sons that i am raising by myself .,i am a mother of 9 beautiful boys .
yum . i wish i could afford lots of fresh veggies . i hate being unemployed .,i am currently unemployed .,i am retired .
"i m from austin , texas .","i am from austin , texas .",i was born in london .
wish i could but i am a busy dental assistant .,i work as a dental assistant in a ritzy part of town .,i am a teacher for five year olds .
i can hunt all the zombies down .,my favorite shows are about zombies .,one of my favorite shows is face off on say .
well i am a general in my group ! so respect me as such .,there i m a general of an orcish army .,i am a skilled craftsman .
for a very long time i do not eat meat .,i do not eat meat .,i eat eggs and bacon for breakfast .
"brother was , vegan is the diet i am following .",i am a vegan .,i eat exclusively meat .
i like to absorb written materials .,i love to read .,i do not like reading scientific information .
i like to educate myself .,i enjoy learning about railroads .,i hated being taught education .
my job has let me be on the design team for over 65 video games .,i have been on the design team for over 65 video games .,i am a school teacher .
"i went to bu for law school , did you go to school there too ?",i went to law school .,i am in high school .
"first , some jokes become hurtful , bc they go too far .",some jokes go too far .,i love to tell jokes .
"i am from austin , texas .","i m from austin , texas .",i am from texas .
i love to eat . not much time for it though . i am a surgeon .,i work as a trauma surgeon .,i work at a restaurant as waiter .
"lol . i am shy , anything to break the ice , and i am a beatles fan .",i love the beatles .,i m in love with adam levine .
"i really love travelling , i am in japan right now . i have not been home in years .",i haven t gone home in over two years .,i do not travel .
"my favorite band nightfish , plays a song about dog vs cat owners .",i am not a dog person .,i love canines .
"yes , we love it ! we brew our own beer and love making coffee .",i like to make my own coffee .,i do not like coffee .
"yes i do make food there . however , my real passion is writing .",i enjoy writing .,i never learned how to write .
i shop for christmas at the store because i love that holiday .,christmas is my favorite holiday .,christmas is not the most wonderful time of the year .
"i sure am ! my high school is doing a blood drive this week , to help out .",i am in high school .,i grew up homeschooled .
"i would like to think so , but in reality not really . i love the outdoors as well .",i enjoy the outdoors .,i can not be in dirt .
"i do not eat much pizza , as a nurse i try to be healthy .",i go to work early in the morning as a nurse .,i work in finance .
"i do not play . i do community theater , but the pressure is to become a doctor .",i am studying to be a doctor .,i want to be a librarian .
what do you do for work ? i am an office in the navy .,i work for the navy .,i am a cashier at a grocery store .
"no , that is why its weird . i tend to just travel around making friends .",traveling and making friends is something i find delightful .,i never go traveling with anyone .
i am kind of sad cause i got rejected from the gifted program .,i just got my rejection letter from the gifted program .,i graduated top of my class .
i work 2 jobs .,"i make over 200 , 000 per year .",i retired so i can spend more time with my husband and helping people .
do you take it on the bus ever ? that is the only way i get around .,i only take the bus .,i refuse to ride the bus .
a librarian and a psychologist . we can solve the worlds problems .,i am a librarian .,i go to work early in the morning as a nurse .
my team is huskies because my fav color is purple .,my favorite color is purple .,my favorite color is hunter green .
sometimes i go to the dog park to walk .,i am a dog person .,i hate dogs .
"i love reading , hence the job . also a big sports fan .",i love to read .,"i enjoy john gresham movies , but not his books ."
that would be fun . i am a big time rapper . i moved to japan .,i am a rapper .,i work at a restaurant as waiter .
that is good i moved to new york just to study in a prestigious designing school .,i moved to ny to study in a prestigious designing school .,i am a georgia resident .
well it is exciting after swimming in a cold pool .,i like to swim .,i am afraid of drowning .
i have male pattern baldness .,i am an older guy .,i am female .
i am so short i cant reach a lot of things on the shelves .,i am short .,i have a high height .
nice . i have dogs so my dog would probably destroy a ferrari . that would be sad .,i love dogs .,i hate dogs .
maybe i know you since i sell pharmaceuticals .,i work in the pharmaceutical industry .,i work at a doctors office .
"i am starting as a teacher on monday ! not has exciting , but very rewarding !",i studies to become a teacher .,i work as a veterinarian s assistant .
i like to be at the beach .,i enjoying going on the sand .,i do not like the beach .
oh i always teach i m a teacher .,teaching is my passion .,i am a poet .
well my dad was a very famous actor !,my father was a famous actor .,my father was a dry wall finisher .
"not yet just left , i just love all the water but that is a biggie .","i love the water , any water , ocean , river , or lake .",water is not my friend .
you sound busy . i work at the local library . lots of petitions signed out front .,i work in a library .,i work at a hotel overnight .
"new york is my home town , make money walking dogs .",my house in in the bronx .,"i live near grand rapids , michigan ."
"i draw him a lot , kind of an artist here .",i am an artist .,i am a roofer .
no kids . i hope my kids will be as tall as me though .,i can reach things on high shelves .,i am a very short woman .
"hi kellie , i am sarah . my dog , snuggles says hi as well .",my dog is my best friend .,i hate dogs .
congratulations ! that is not easy work at all . my office job is a bore compared to that .,i work in an office .,i work at a animal clinic .
i do not have much time for the gym between my college courses .,my college courses are on philosophy and history .,i currently attend school at a local junior higher education institution .
"yes it was , but i prefer winter .",i prefer winter over fall .,i hate winter and the cold .
"i am good , just got home from work . i am a stocker at walmart .",i work at walmart as a stocker .,i own a barber shop .
i am studying it in college . i like to read too .,i am in college .,i went to alabama state .
is it starbucks coffee because man i love that place .,i love starbucks coffee .,i cannot stand the smell or taste of java .
"so good , right now i am swimming in my moms bosses pool !",i like swimming .,i am afraid of drowning .
i drink a lot of caffeine .,my favorite coffee is french vanilla .,my favorite drink is caramel cappuccino .
"i am sorry , i am glad my mom can reach the cookie jar for me .",i wish i was taller so i could reach the cookie jar .,i am 6 feet tall .
i have brown hair and very skinny .,my hair is brown .,i am blonde .
"my 2 kids love our dogs too , 3 dogs .",i have 2 kids .,"my ten kids love our dogs too , 3 dogs ."
from florida school is not important here .,i live in america in the state of florida .,i live in vermont .
"if i was to write a biography it would be call , math is horrible .",i m terrible at math .,math is my favorite subject .
the bucks are the best team on earth .,i support the nba protest movement .,i am not very good at playing basketball .
me too . just chilling with my 2 cats .,i have 2 cats .,me too . just chilling with my three cats .
i have five children .,i am a mother of 5 .,i do not have any children .
no in terms of my favorite food . apples . do you really work as an accountant .,i enjoy apples .,my favorite food to harvest is carrots .
i currently work at mcdonalds .,i work at mcdonald s .,i work for the nba .
i am in school .,i studied clothing designs but never used it .,i dropped out of school .
i should have explored my ambition for cooking .,i love to cook .,i cannot cook .
"it is a landmark museum , i spend most of my time reading .",i work at a museum .,my job is now at the library .
yes i bake a lot for friends here in texas .,i am from texas .,i live on a small farm in ohio .
i like vegetarian pizza . but my favorite food is fresh fruit .,i really enjoy fruit .,some fruit does not agree with me but it is not that bad .
studying to become a doctor . cannot wait for a new life making more than 215 an hour .,i hope it to become a doctor one day .,i want to be a pro athlete .
it helps at the isaiah rashad concerts .,my favorite music artist is isaiah rashad .,my favorite band is the beastie boys .
i am a nurse which can be challenging as i have a bipolar problem .,i am bipolar .,i m a truck driver in the south .
sounds interesting . i am only into dogs .,i love dogs .,i hate dogs .
"ah . i understand now . sorry , i was distracted listening to worn .",my favorite band is worn .,i love the beatles .
i write books .,i write historical fiction .,i am a nurse in the emergency room .
all well here at the zoo . my wife and i are just on our lunch break .,i work at the zoo .,i am employed at the filling summit less than forty hours per week .
"doing well . i like pop , especially sprite .",i like sprite soda .,my favorite drink is chocolate milk .
i like meat lovers pizza whats yours .,i love to eat meat .,when i was a child i began avoiding meat .
i am working at a museum for the time being . how about you ?,i work at a museum .,i am employed at a huge medical facility .
sometimes . how tall are you .,i am above the standard height of a us male .,i am rather short .
10 or more race horses would be ideal and teaching my own program .,i am trying to open my own teaching program for horse racing .,14 or more race horses would be ideal and teaching my own program .
"working , i part time at a gas station and also travel selling encyclopedias .",i work at the gas station as a part time job .,i work for a marketing agency .
"hello , i am just reading as i do it all the time .",i spend my spare time in novels .,"i enjoy john gresham movies , but not his books ."
no they are midgets . being tall makes it hard to water ski .,i am tall .,i am 5 3 and am the shortest person in my family .
i do enjoy it . i prefer to be outside painting .,i like to paint outdoors .,i do not enjoy using acrylics .
i sometimes wonder why i am not married .,i am not sure why i have yet to enter into a life bond with a mate .,i am married .
that is a state i have never traveled to . what is your job ?,i have a great job .,i am happily retired .
alright . my two daughters love that show .,i am a mother of two daughters .,alright . my four daughters love that show .
i have been a wife for a short amount of time .,i have a wife and children .,i am currently single but i am ready to mingle .
"to be fair , my iphone does let me get scores on celtics basketball .",i like basketball .,i am not very good at playing basketball .
"yeah , i like all the seasons . i am a pretty happy person , always smiling and singing .",i am a happy person .,sometimes i feel depressed .
"its good , i am not married so i have both my kids for the weekend .",i like children .,i do not like kids .
i had 3 dogs . the 2 that died we just buried in the yard .,we also have three dogs and two cats .,i had seven dogs . the 2 that died we just buried in the yard .
"cool ! well , i enjoy painting and visiting museums .",i like to paint .,i do not enjoy using acrylics .
"i am good . i am married , love trump , and enjoy running .",i run two miles everyday .,i cant stand to jog but i push myself .
i am an old man .,i have male pattern baldness .,i am female .
i grew up in the south so i love mexican food .,i grew up in the deep south .,my name is mary and i am from colorado .
"i have been married for 18 years , i met him in college freshman year .",i met my husband when i was a freshman in college .,i am a widow .
"i write lyrics , trying to be like 2pac he was the best .",tupac is my favorite singer .,my favorite band is ween .
i am a teacher and volleyball coach so i understand .,i m a sixth grade teacher .,i am a musician and a brain .
i am so short ! ! i need a big jacket ! !,i am a very short woman .,i am blue and tall .
do you like starbucks coffee ?,i love starbucks coffee .,i do not like coffee .
i work in the bar on weekends . i see flirting like that a lot .,i tend bar on the weekends .,i work for an architect firm .
yea it was my fault i have a little road rage but i love people lol .,i am a people person .,i do not like people very much .
oh yeah . you told me that . my apologies . i am from virginia . i now live in pennsylvania .,i used to live in virginia now i live in pennsylvania .,i enjoy living in florida keys .
my favorite music is rock opera .,my favorite music is two steps from hell and rock opera genre .,my favorite music genre is rock .
"i am fine , thanks . are you a college student ?",i am a college student .,i will be attending college in california .
you should try and go on holidays in the country its really relaxing !,i love country .,i do not like country .
"i like rock , country music makes me cringe .",country music makes me cringe .,i like country music .
i like reading .,i love books so much .,i do not like reading scientific information .
yes me too ! i like jokes but man some go too far .,some jokes go too far .,i love to tell jokes .
i like the ocean .,i like going in the ocean to look at fish and other big creatures under the water .,"i refuse to go in the ocean , i am afraid that i will drown ."
i am doing great as well . do you have any other animals or any kids ?,i do not like kids .,i like children .
"my father . i work for the navy , 17 years at sea . its still terrifying .",i work for the navy .,i work for the nba .
i enjoy running so i usually run to the mall .,i do laps all the time .,i hate running .
i enjoy fishing . i am going out on my boat today .,i spend a lot of time on my boat .,i hate the taste of fish .
yeah i love italian food . i like coffee and soda too that is all i drink .,i love coffee .,i cannot stand the smell or taste of java .
i should go run since i get married in 6 months .,i m getting married in six months .,i am married and have kids .
i try to stay n bed until at least noon everyday .,i am not a morning person .,i am a morning person .
i sure will i am old looking for a friend outside of my husband .,i retired so i can spend more time with my husband and helping people .,i am not a basketball player though .
i am a dog lover .,i am a huge fan of dogs .,i am not a dog person .
anywhere near water because i love surrounding myself around anything blue !,my favorite color is blue .,i really dislike things that are blue .
sounds like a great time to be around friends and family road trip .,i enjoy spending time with family and friends .,i do not get along with my family .
"i have two kids . they are chinese , adopted . where are you ?",i have two adopted kids .,"i have 7 kids . they are chinese , adopted . where are you ?"
oh . i do not like tacos either . but i love basketball .,basketball is my favorite sport to watch .,i am not very good at playing basketball .
i like to drink on the weekends .,i love jager .,i don t like beer .
"the library on campus , it is part time but really peaceful and easy .",i work part time in the campus library .,my job is on the line in a kitchen .
no flying short old guy the top shelf is off limits to me .,i m too short to reach the top shelf .,i wonder what it feels like to be a short lady ?
"must be nice in the summer i love summer , its the best season .",summer is my favorite season .,i am always happy when the summer ends .
"i am from georgia , and i would like to become a teacher .",i d like to be a teacher in the future .,my desire is to becom a fashion designer .
my mother was a school music teacher .,my mom taught for years .,my mother was a concert pianist .
cool ! i just dropped out of college . stay in school ! !,i dropped out of college a month ago .,i graduated from college .
pizza is the best food .,pizza is my most favorite thing .,i can t stand pizza .
"just pets , and studying . i have a few years of high school left .",i am in high school .,i graduated from princeton .
yes that is cool i like eating all kinds of fish .,i like to only eat fish .,i am sick when i eat fish .
"i could be the next mrs . adam levine . please , i will buy you 10 mangoes .",i m in love with adam levine .,my favorite musician is bruno mars .
my husband keeps me busy as well as my cats .,felines are very dear to my heart .,i am not a cat person .
i am not a wine drinker i love some french vanilla coffee .,my favorite coffee is french vanilla .,i do not like coffee .
i have a wife and children .,i am married and have five children .,i have been divorced for 2 years .
i work as a pilot for american airlines .,i am a pilot .,i work as an interior designer .
"i do it in the library where i work , i just sit around reading the scary books .",i love books so much .,"i enjoy john gresham movies , but not his books ."
i eat a strictly vegan diet .,i m a vegan .,i eat exclusively meat .
the woman next doors child who i babysit has ocd !,i babysit for the woman who lives next door .,i own a barber shop .
no its frustrating going to the mall when you are deaf . i constantly bump into people .,i can not hear .,my favorite city is seattle .
i work on my days off .,i do not go a full week of employment without a break .,i became unemployed from the bank recently .
awesome . i live in baton rouge .,my mother doesn t ! ove me .,i am from seattle .
"cool ! it is weird , because my favorite season is summer .",summer is my favorite season .,i am always happy when the summer ends .
wow . that sounds good with coffee .,as long as i have a cup of coffee in my hand i am a happy person .,i cannot stand the smell or taste of java .
i hear its nice there i am in pittsburgh and love the steelers .,i live in pittsburgh .,i live in new york .
when i was 16 . i want people think i am mature . i am male .,i admire people who write books .,i am an outcast .
mine . i got paint all over my hair . at least blue goes with brown .,my favorite color is blue .,i do not like blue .
"i do not have any kids , but i do have four tabby cats d .",i have four cats .,my daughters say i am a great mother .
"this is true ! i am a vegan , so i do not eat what comes from my animals .",i do not eat any animals or animal products like cheese .,i am a carnivore .
i started to attend upper dublin senior high school .,i am in high school .,i am studying the humanities .
sounds like fun ! have you ever been to russia . i am from there .,my country is russia .,i am still getting used to the lifestyle of california after living in japan for so long .
"i like to be a jokester , but i am not very good at it .",i love to tell jokes .,some jokes go too far .
yea party planning is the best job there is .,i have a career in party planning .,i am a traveling encyclopedia salesman .
i like to see people pray in groups .,people do not like me too much but i like them anyways .,i do not like people very much .
he sure will ! our family migrated to america when i was five .,my family migrated to america when i was five .,i live in new york .
"oh , my father was in the navy , but then he became a cop .",my father used to be a cop .,my father was a police officer .
awesome ! i am watching sports .,i like sports .,i ve never been a fan of sports .
not really . i did spend my childhood in nevada .,i grew up in nevada .,i was born in baton rouge .
i am in school in new york for designing fashion .,since young i ve loved fashion .,i live in a big city .
the best way to cook fish !,i eat a lot of fish .,i am sick when i eat fish .
guns and roses is my favorite and a lot of other rock bands too .,i like rock music .,my favorite singer is justin timberlake .
how funny ! i eventually want to have a stable with a minimum of 10 race horses .,i hope one day to own a stable of at least 10 race horses .,how funny ! i eventually want to have a stable with a minimum of twelve race horses .
"i joined the military , actually ! i have always wanted to free dive , that sounds like so much fun .",i am in the military .,i work for a beer distributor .
me and my kids like to go hiking during the summer . love the weather .,i love the summer .,i am always happy when the summer ends .
so cool i go to college so one day i become a nurse .,i wanted to be a nurse .,i want to be an actress .
true and i am vegan so i eat lots of them .,i am a vegan .,i am a carnivore .
wow nice ! i am ready to go back to finish vet school .,i am going back to school .,i did not graduate from university .
i believe so . northern california is a lot cooler .,i live in california .,i recently moved to florida .
i have helped my brother on digs . he is an archaeologist .,my brother is an archaeologist .,my brother is in the army .
"we move around a lot , thankfully starbucks is everywhere .",i move around a lot .,i do not travel .
i came to the united sates when i was fourteen .,as a kid i lived in southern united states .,i live in vermont .
"do not think so . would not taste as good . try green apples , they are my favorite .",i like to eat the skin of the apple .,my favorite food is tacos .
i am sorry . i am sure they will come around some day . maybe you need a dog .,in my home we have several canines .,i am not a dog person .
"college is best single lol trust me , i listen to a lot of rap .",i am single .,i am married and have five children .
i am nearly 6 tall .,i spend time in the water everyday .,my dad is an airline pilot .
i am in advertising .,"i work in marketing , and i love it .",i am nurse .
the only dr i am is a dr . pepper . . girl that is . my favorite drink .,my favorite drink is dr pepper .,i also love orange juice .
i could never be a vegetarian .,i love meat .,when i was a child i began avoiding meat .
haha i do . like i literally live to go running . i am on my school team .,i love to run fast .,i hate the long run .
i like to talk .,"sometimes , i sit by strangers on the subway and strike up a conversation .",i don t talk a lot .
hey i love me some pizza .,i like to eat the same thing as ninja turtles .,i cannot stand pizza .
care to chat with a recreational baseball player my fav hobby .,i love to play ball sports .,my favorite hobby is reading .
great i am student will graduate in a few years .,i am a graduate student .,i graduated high school in 1986 .
cooking . i am a big foodie .,i like to cook .,i never cook .
awesome . that is the only thing i will never do . i do like the outdoors though .,i enjoy the outdoors .,i can not be in dirt .
that is good but i do not have enough money and i am in debt right now .,i am in a lot of debt .,i have tons of money .
that sounds fun ! i wish i was an explorer .,i want to be an explorer .,i want to be a doctor when i graduate .
i am an aspiring writer .,"my ultimate dream , however , is to be a writer .",i would love to be a professional athlete .
it cannot be worse than my opening . . . i am a young crazy cat lady with 4 cats .,i own 4 cats .,it cannot be worse than my opening . . . i am a young crazy cat lady with 12 cats .
i like to eat pizza then i go run it off because i am a athlete .,i am an athlete .,i am a musician with a day job .
i been take very odd jobs saving up .,i work some very odd jobs .,i am currently unemployed so i have time to write .
i watch pandas on youtube too ! i love to drink coffee with cream while i watch .,i love coffee with cream .,i cannot stand the smell or taste of java .
my mom was a ballerina . that is how i got into it .,my mother is a ballerina .,mo mother worked as a nurse .
cool . i am in the navy and i swim .,i work for the navy .,my career is in a library .
i fly my planes around you .,i fly a plane .,i have a fear of flying so i will not try .
that is awesome ! my dogs are all home . there are 3 ! ! !,i have puppies .,that is awesome ! my dogs are all home . there are eleven ! ! !
"hi , i am a farmer from kansas , but i am looking for a new farm .",i live in kansas .,i live in north dakota .
i grew up on a farm so we did not go many places .,i didn t go to college because i run the family farm .,i am an accountant .
it is a perk of being a professional basketball player . if you practice . . .,i am a professional basketball player .,i work as an interior designer .
"i do not know if i enjoy programming , or if its my only choice .",i work as a computer programmer .,i work at a gas station as a cashier .
too expensive . and my cat does not like others .,i still love my cat despite all this .,i hate cats .
i have a small farm in ohio dreaming to go to the city for once .,i live on a small farm in ohio .,i live in rural wisconsin .
wow . nice . i am hoping to move back to canada when i retire .,i am canadian .,i live in nashville .
i work for a government agency .,i work for the government .,i work at a business that sells morning drinks .
"cool , i also have a corner shop job .",i have a job in a supermarket .,i cook for a living .
i work in it at an office . you ?,i work in a doctor s office .,i work for an advertising agency .
"wholehearted agreed with that , but he does not understand when i am reading .",i love to read .,"i enjoy john gresham movies , but not his books ."
that is sad i try and do fun things with my kids .,i have a wife and two kids .,i am single .
hello i do enjoy suspense novels .,my favorite hobby is reading suspense novels .,i do not like reading scientific information .
interesting life . i am a meeting coordinator for now .,i work as a meeting coordinator .,i work as a bartender .
"i am , i just recently moved to portland oregon and decided to go back to school .",i live in a nice attic apartment in portland or .,i live in nashville .
i actually love animals pretty much obsessed .,i m obsessed with animals .,i do not like animals .
yeah i try to keep busy all the time .,i am an animal lover .,i do not like animals .
16 now . the only set in our whole family .,there is only been one set of twins in my family .,46 now . the only set in our whole family .
nice . i love sports . especially swimming . i am pretty active every day .,i like to swim .,i am afraid of drowning .
i have three great dogs .,i have three beautiful dogs and one cat .,i have 9 great dogs .
nice . i do not make much working at my local state bank .,i work at the local bank .,i work on the generational land .
"great ! my father is the preacher at my church , always happy to see him too !",my father is a preacher .,my father was a police officer who died when he was shot by a robber .
spring time is amazing out here .,my favorite season is spring .,i prefer summer .
summer is definitely my favorite .,i prefer summer .,i am always happy when the summer ends .
hi there . i am actually a student right now .,i am a student in social sciences .,i only graduated from high school .
did you know i work at a club .,in the evenings i watch the door at a club where they play punkrock .,i work at a spanish fast food restaurant studying friend food .
no . i cannot afford a car . i work in a fast food restaurant .,i work in fast food .,i am employed at the supermarket .
"busy with school , but i love it . anything going on ?",i really like to go to school .,i hate school .
seafood is gross to me .,i hate seafood but love mexican food .,i like seafood a lot .
yay ! i love bruno mars ! he is my favorite musician .,my favorite musician is bruno mars .,my favorite singer is kid rock .
i do not like carrots . i throw them away .,i hate carrots .,i do not like carrots .
they need healthy food at that age i love vegetarian food .,i enjoy eating vegetarian food .,i eat eggs and bacon for breakfast .
"veterinarians take care of road kill ever day , i could have helped .",i am a veterinarian .,i am employed as a emt .
i am afraid because i have a new york accent .,my house in in the bronx .,i live in a fantasy world .
so early ? i am a stand up comedian . . long night for me .,i work as a stand up comedian .,i work in public relations .
yes ! i do like winter alot too . just laying in my single bed cuddled .,i sleep on a single bed .,i hate winter and the cold .
"hello , i am fine how about you . whats your favorite color , mine is blue .",my favorite color is blue .,i really dislike things that are blue .
watching my favorite show csi .,my favorite show is csi .,my favorite show ever is game of thrones .
that is nice . i love running .,i like to go running .,i run more then 2 miles a day even though i hate it .
"i am in missouri . springfield to be exact , and its a little hot today !",i currently reside in missouri .,"i live in the city of grand rapids , michigan ."
ugh winters coming . . . not happy about that .,i hate winter .,i like winter sports .
i am well . just got home from my job at a coffee shop .,i work at a coffee shop .,i m the lead singer for an indie band .
we have two at work ; i work with a non profit that helps kids .,i work at a non profit that helps children .,i work at a vet .
my mom teaches kids .,my mom works in the educational system .,my mother is a professional make up artist .
i wish i had a fixed job too . my work requires a lot of travel .,i move around the world a lot .,i do not travel .
of course there are ! i enjoy cooking for my family .,i cook my own meals .,i do not like to cook .
i have 2 dogs .,i have a couple of dogs to pull my sled .,i have 5 dogs .
hip hop is my favorite . do you play an instrument ?,my favorite music is hip hop .,my favorite music is country .
"no , i just have have a hard time behind the wheel . do you like tv ?",i like watching tv in my free time as well .,i do not like to watch tv .
i work for an insurance agency .,i work as a secretary at an insurance agency .,"i am a professional musician , i won some prizes for music ."
i want my work to be impactful .,after work i am a chauffeur for my family .,i volunteer at my local animal shelter .
i am a meat eater .,i like meat and vegetables .,i do not like to eat meat .
"no , i am a legal assistant with a law firm .",i work as a legal assistant in a law firm that basically only handles real estate work .,i work with animals .
"wow i never have time to travel , my hours at the finance office ugh .",i work in finance .,i moonlight as a banker .
well its great you are learning the piano . i am a business owner .,i am a small business owner .,i am a teacher for five year olds .
"i am a tutor for english literature , bit teacher sounds better . ll .",i provide assistance to students who are reading works created in england .,i am an amateur entomologist .
i am married with 2 children .,i got married last year .,i am in a relationship .
i have only ever been there once . i used to live in upstate new york .,i am a lawyer for the state .,i am employed at a huge medical facility .
i bet the food in australia is amazing . i am vegetarian though so options are more limited .,i am a vegetarian .,i am a carnivore .
i just been working in a bank as a teller .,i am a bank teller .,i work bagging food .
a cab as a contractor for the local company .,i work as a contractor for a cab company .,i am an amateur entomologist .
traveling and making friends is something i find delightful .,i love traveling .,i never go traveling with anyone .
i work for a computer company . i would rather be an explorer tho .,i want to be an explorer .,i am studying to be a doctor .
at a news station . i have been featured in the news six times because of this .,i have been on the tv news six times .,at a news station . i have been featured in the news thirteen times because of this .
"i am fine , just cant wait for christmas .",i love christmas .,i hate christmas .
i run alot every day 2 miles a day .,i run two miles everyday .,i hate the long run .
"nice , that seems like an adventure . i tend to eat a lot of junk food from mcdonald .",i like fast food too much .,i do not like french fries .
i am great ! i love being married .,i am married .,i am recently divorced .
i wanted to go back to study to becoming managers .,i want to learn how to manage a place in vegas .,i want to be a makeup artist .
that is cool . my mother danced the ballet in london .,my mother was a famous ballet dancer in london .,my mother was a cosmetologist .
i am a business man .,i am a well educated businessman .,i am a doctor .
i am an aspiring singer .,i want to sing professionally .,i want to be an entrepreneur when i get out of school .
lol blue is . that is why i like being around the water .,my favorite color is blue .,i really dislike things that are blue .
yes . it was fun . we did some gardening .,i like to grow plants .,i do not like gardening .
that seems like a fun job . i like vegetarian food so we have animals in common .,i enjoy eating vegetarian food .,i eat eggs and bacon for breakfast .
"hi , i am going to my hometown , seattle , to visit my parents .",i m from seattle .,"i come from bennett , colorado ."
