anchor,positive
absolutely ! i could let you borrow my pink hiking boots if you like .,my hiking boots are pink .
"i have a huge big blue van , what you drive ?","i drive a large , blue van ."
that is sad . i can share my cat with you .,i have one cat .
"very rarely . somehow , i am not into meat that much .",i do not like to eat meat .
i totally have freckles all over my hands and face .,i have freckles all over my face .
10 or more race horses would be ideal and teaching my own program .,i am trying to open my own teaching program for horse racing .
"i do not work at all , but i know a lot about video games !",i enjoy playing xbox .
sure ! you should come to my art exhibit too .,i enjoy things of an artistic nature .
"wow ! maybe when i am out of braces and more grown up , i will read him !",i possess orthodontics .
do you have a flower garden ?,i have a flower garden .
"it is great . here in alabama , i like to go to a lot of sporting events .",i live in alabama .
yes i am . do you like to watch netflix ?,i like to watch shows on netflix .
i am not into fighting . if i want danger then i just drink milk which makes me sick .,i have to drink dairy free milk .
that makes sense . so what do you do for fun ?,i wonder what it feels like to be a short lady ?
"maybe you play a sport , like soccer .",i am a fan of ac milan .
i have been married eight years .,i got married 10 years later .
i need to do that also . i live in texas .,i live in the lone star state .
"when i am not fishing , i build boats for a hobby .",i enjoy fishing .
i give out sports information .,"i make over 200 , 000 per year ."
i am a big fan of drawing .,i love to draw .
hi nice to meet you i just graduated nyu two years ago .,i finished school .
i left my small town to work in construction trades .,i work as a construction worker during the summers .
"since getting my ba in education , i just got a job at a school !",i just graduated college with my bachelor s degree in education .
i want to start a band one day .,i am trying to play in a local band .
good was just watching an anime show on tv i really like that type .,i like anime shows .
"mine are running , training dogs and baking cookies .",i like to make cookies .
that sounds incredible ! good fishing down there i bet too .,i enjoy fishing .
i am a psychologist an i really like the chocolate they give out .,chocolate is my favorite food .
i enjoy being active .,i am very active .
i want to talk to you about animals because i love them .,i love animals .
my sister is my best friend .,i have a female sibling with a very common name .
"that is why i love fall , because its orange everywhere .",my favorite color is orange .
yes i am one of the highest paid player in the nba .,i work for the nba .
"i run my own farm , which is pretty interesting i suppose .",i did not go to college because i run the family farm .
i still love my dog son . he is just nuts .,i have a dog that has behavioral issues .
no i wished i eat breakfast and go back to sleep .,i eat breakfast then go right back to bed .
oh i enjoy drawing people .,i like to draw other people .
that is so cool . my brother and i own a food truck .,my brother raised me after our parents died .
"for sure . if you have car trouble , i work on cars in my spare time .",i like to work on cars .
i am a retired teacher . my former students come for visits all the time .,i have graduates who come to see what i have been up to .
oh i just read fiction because it is what i love to read .,i love to read fiction .
ah ! i like to work in my garden .,i love to work in my garden .
i love to drink coffee too . i have five flavors in my fridge .,i have five different flavors of coffee in my fridge .
i speak different languages fluently four of them .,i can speak four languages fluently .
"i think that is why i am single , i have 5 dogs .",i am currently single but i am ready to mingle .
"hopeful you do not have to take her to the vet , what else are you up to ?",i like to think about what it would be like to be an artist .
are you an artist ? my goal is to join a band one day .,i want to be in a band someday .
what is your favorite mortal kombat character ? mine is mileena .,my favorite mortal kombat character is mileena .
i am in gymnastics .,i m in gymnastics .
all about drawing comics . i like them a lot .,i visit comic con .
i have a son too how old is your boys .,i have a little son .
i enjoy outdoor activities .,i like spending my time outside .
when i was working on facebook we ate a lot of pizza .,i helped develop facebook .
that is not a bad idea . i do have tons of friends i can contact .,i have a lot of friends .
"eh , , , in class should be taking notes but drawing instead .",i draw during classes instead of taking notes .
"hi my name is yumi , and i enjoy anime and draw comics for my work .",i love anime .
"hello , i am sue and used to have six cats .",i use to own 6 cats .
i have always had long hair .,i have a long wavy ponytail .
that is awesome . we are from canada . our nearest neighbor was pretty far away then .,i hail from canada .
i m picky when it comes to food .,i am picky when it comes to smart phones .
i have zero desire to work .,i am a lazy person .
"i make alot of money as a nurse , so i shop alot now .",i wanted to be a nurse .
you could come over . we will salsa dance and eat pizza .,my favorite food is pizza .
i love outside .,i enjoy outdoor activities .
"no , i like to post about food i cook .",i post a lot about the food i eat on social media .
not shopping in stores is not restrictive . i can go ice skating all winter long .,winter is my favorite season .
i love walking in the park .,i like to walk pets .
just getting over being a pack a day smoker . driving endlessness takes the mind off .,i like to drive for hours .
i cook for a living .,i work as a grill cook .
"that is awesome . i love animals . i am mainly a meat eater , actually .",i am primarily a meat eater .
i have been feeling a little old . my only child just graduated college .,i have only one child .
"interesting , people think i am a goth because i like dark clothes .",i love dark clothes .
oh that is so nice and productive . people like you make me happy .,i am a happy person .
lol is her favorite color purple ? mine is .,my favorite color is purple .
i want to travel to italy or france and see the vineyards .,i like to travel .
then we can go shopping ! i love shopping . i am a lifestyle shop blogger .,i am a lifestyle blogger .
i enjoy taking late night walks when its completely dark .,i enjoy walking around the park .
"people say i am quiet , they have seem me upset .",people in school said i was quiet .
cool like painted pictures ? i love pizza .,i love to paint pictures .
have you tried listening to muggers they are really good .,my favorite band is the muggers .
"i have been to new york city one time , have you been there ?",i went to new york city once .
i do not love sweet home alabama song though hehe ! do you watch tv ?,i don t like the song sweet home alabama .
maybe ? a black iphone would match my black purse though .,i have a black purse .
lizards are awesome . i have only three good friends and my lizard .,i like lizards .
"sounds interesting . yea i drive what i sell , an acara .",i drive an acara .
"i play tennis , my favorite outfit to play in is green .",green is my favorite color .
i would need the whole village or all of dads middle school students .,my youngest sister is in first grade .
"however , i am shacked up with my boyfriend in an apartment , lol .",i live with my boyfriend in an apartment .
"do you have pets . two dogs , fred and ethel and one cat lucy for me .",i like to care for pets .
wow . i would rather be hiking on glaciers than be in that right now !,i enjoy hiking on glaciers .
i enjoy sketching humans .,i enjoy drawing .
i as a beer distributor .,i work for a beer distributor .
"i am , i like military movies . both of my parents still serve .",both of my parents are in the military .
which is strange . because i am allergic to apples . i have 25 kids .,i am allergic to apples yet still eat them .
"that sounds fun , on my days off i paddle board .",i paddle board on my days off .
hmm do not know . i write romantic novels under a pen name .,"under a pen name , i write romance books ."
how cool ! do you like thrift shops ? i love them .,sometimes i like to visit thrift shops .
my husband keeps me busy as well as my cats .,i love cats .
i love to go horseback riding whenever i can .,i love to ride horses .
i am too short to reach the top shelf .,i m too short to reach the top shelf .
bummer i got a job watching the door at a club so doing ok financially .,in the evenings i watch the door at a club where they play punkrock .
i really like canadian women .,i think canadian women are incredibly attractive .
do you ever play the lottery ?,one day i played the lottery .
i am rich beyond my dreams .,i grew up well off .
being an accountant is very boring .,i work in accounting .
robyn . i sell viagra and have a dog named ciales . just kidding . ll .,"i love dogs , especially labradors ."
i love italian cuisine .,italian food is my favorite !
"i like game of thrones , so i am a fantasy buff .",my favorite show ever is game of thrones .
i love that ! i enjoy kayaking . we do so everyweekend on the lake .,i kayak at the lake on weekends .
"yeah , a few things make me moody which is why i play video games a lot .",i play a lot of video games .
"maybe you should come hunting , we do not talk much whilst we go . just enjoy meat afterward .",i am a meat eater .
"good , i do not eat meat so i am vegan and i have brown eyes .",i m a vegan .
"very cool . i started acting at 10 , made my first movie at 18 .",i like to act .
i cannot because i have kids and am married .,i am married with kids .
"my dad passed away , leaving me and my 2 siblings . i am the youngest .",i am the youngest of 3 .
i am just waiting for some cookies to finish baking .,i make pastries for my friends .
are you normally very shy .,i am very shy .
i have a lot going on . plus my colorblindness is impairing .,i am colorblind .
my favorite dessert is strawberry cheesecake .,my favorite dessert is cheesecake .
i got a fast black car to help me find a lady .,i drive a fast car .
i bit . reminds me of the holidays with friends and family .,i like spending time with my friends and family .
"hello , jack . i am mia , todd says hello too . he is a parrot .","i love my parrot , todd ."
oh you like to read ? i teach at a private elementary school .,i teach elementary school children at a private school .
i am from a rich country where we have beards .,i am bald with a thick beard .
i m allergic to shellfish .,i am allergic to shellfish .
those are cute ages . i bet yall make a lot of pizza together .,my favorite food is pizza .
hello where are you from ? its been a couple of years since i went home .,i haven t gone home in over two years .
i do not share my apartment with anyone else .,i am currently renting an apartment .
i love shooting darts for fun .,"i enjoy playing recreational games like cards , darts or billiards ."
jamaica is awesome . their people are free spirited like me .,i am a free spirit .
i do not like my family . all my siblings are older than me and they start trouble .,i m the youngest of five .
i do not have many friends .,i am lonely .
i live on a lake . i own a condo .,i live alone in my condo .
i work in a used book store .,i work in a bookstore .
"i am the pharmacist , yes . not the gm though . he makes the call for working during hurricanes .",i am a pharmacist .
my dad . he retired a few years back from law enforcement .,my favorite color is red .
that sounds awesome ! i just do not like the dusty sand .,i can t stand clutter or dust .
i work for amazon . i also play saxophone in a band .,i m in a jazz band and play the saxophone .
only if i m shopping . i love going to brick and mortar stores .,i am a fan of spending money .
it takes most of my time . i make other products like soap .,i make my own soap .
hi i like to take pictures photography is my favorite .,i like to take pictures .
i do but i have no time now that i care for my grandparents .,i had to drop out of college to help with my grandparents .
"flying is really fun , but clouds are amazing to look at .",i am an animal lover .
i am a girl ! with big brown eyes .,i have brown eyes .
i am and always been a city girl . but i love going to the beach for vacation .,i love trips to the beach .
i am in northern texas so i have avoided both of them thankfully . i love the outdoors though .,i enjoy the outdoors .
my mommy usually make my lunch .,my mommy makes me a picnic lunch to eat outside .
i love golden retrievers . do you have a favorite color mine is green .,my favorite color is green .
i am a driver for a local bakery .,i have a relaxing career .
"i am currently selling washers at sears , but i would like to be a journalist one day .",i want to be a journalist but instead i sell washers at sears .
i could make cookies for them .,i like to make cookies .
that is so cool ! i wonder if they eat a balanced diet and avoid sugar too ; .,i try to eat a balanced diet .
i want to be a pro musician .,i dream of playing music for a living .
lol i will sell you my van for fifty dollars and a chocolate bar .,i drive a van .
"i hate movie subtitles , they make me sleepy .",i am tired of having to read subtitles .
great . just planing my next hike on the appalachian trail .,the appalachian trail is my favorite .
oh . i only graduated from high school a few months ago with honors .,i just graduated high school with honors .
"i have autism , i am not sure if i can do that .",i am on the spectrum .
hi ! just got new braces . . . my mom refused when i said no .,i hate that my mom made me get braces .
well everyone says i am some neurotic hypochondriac so i think i should not have kids .,my friends tell me that i am a neurotic hypochondriac .
i feel like i do not have a choice .,"i do not know if i enjoy programming , or if its my only choice ."
wow i hope to go to a diner when i go to quebec canada .,"i hope to visit quebec , canada someday ."
"its a big city maybe , my best friend lives there .",my best friend lives in a big city .
my friends hate music as much as i do . 30 mph .,i don t like music .
"i am a baritone . oh , and people say i look like sinatra because of my blue eyes .",my eyes are blue .
do you ever watch the voice ?,i love to watch the voice .
"it is . katy perry is my favorite , and i try to emulate her look .",i love katy perry .
"i live near grand rapids , michigan .","i live in the city of grand rapids , michigan ."
i was in a car accident when i was younger .,my friend once bought me a car .
my dad used to read me some stories but now he lives in china .,my father lives in china .
do you like to dance to country music ?,i love country music .
my diet consists of whole foods but no garden though .,i am on a diet .
"do you like pasta , i love making it .",my favorite food is pasta .
i am a teacher and i like reading studying books with my students .,"i enjoy my job , as a teacher ."
my toddler is fascinated by nature too .,i have a toddler .
"sorry for the delay , had to end my work portal . awesome ! i love to party ! !",my friends don t call my by my real name .
"blue and hazel , but i feel unique , not a freak show , but my cat does not understand .",i am a cat owner .
i listen to blues and jazz .,i like the blues .
luck you . i happen to be a viking living up in nunavut .,i am a viking .
i do not really like any of my family .,i don t have a lot of family members that i like .
"yeah it does , its fun to go to clubs concerts and move with the music .",i like to move to the music .
i am okay . i am singing .,i m a shy person but i love to sing .
i look forward to retiring .,i would like to retire to hawaii in the next 10 years .
"my mom worked at a school , she was a teacher .",my mother was a teacher .
"all of them , i am that good . i also play piano .",i can play the piano .
i once won a pageant but it really was not worth the time . how about you ?,i won a beauty pageant one time but did not feel like it was worth the effort .
exactly ! my wife stays home with the kids . its basically my man cave .,we own our home .
oh cool . my brain just automatically goes to video games .,i enjoy video games .
that is no fun . both of my high school aged sons want to be doctors !,i am a middle aged mother of two high school boys .
early bird . i married a very nice guy i met in college .,i am currently a stay at home mom while my husband is the sole provider .
one of my 3 good friends has an older brother who works at a state park .,i only have three best friends .
my mom told me i had to get them to fix my teeth .,i hate that my mom made me get braces .
i wish they had them here . it is hard finding ready made vegan dishes .,i am a vegan .
"i look pretty good too , since i do weight lifting .",i am a weight lifter .
i am in college . . . i am only 21 . i cheer for my schools football team ! ! !,i am 21 years old .
plenty of deer where i live but no good places to go fishing .,breaded tilapia is my favorite dinner dish .
i did just get some good news about getting on the baseball team in college .,i play school base ball .
i have 3 boys who are amazing but at times can be a little too much .,i have spent along time in love .
i eat fresh pie and swimming .,i like to go swimming .
no . i probably should read more though . i do work from home which is nice .,i like working where i live .
my mother was a yoga teacher and my mothers mother and her mother .,my mother was a teacher .
"yes , and it is ironic that a bartender is chatting with a former alcoholic too .",i serve at a bar on the weekends .
i like to tan my olive colored skin .,i am tan .
"i see . . . well , i am a soldier in the us military .",i am in the military .
we have two kids .,we have a boy and a girl .
hiking can be fun and i am in shape from all the dancing i have been doing .,i love dancing .
"yes , but i do not like killing . my freckled face likes to also read romance novels .",i love to read romance novels .
no i am a judge so that would not be good .,i m a judge in the circuit court .
i am not a vegan . i enjoy spicy tex mex food though .,my favorite food is spicy tex mex .
that is fun do you like music .,i want to be a music teacher .
it does make learning the guitar a litle hard but i love jimi hendrix .,my favorite music is jimi hendrix .
that would be awesome my friends would like it too .,i have tons of buddies .
"yes . and i always bake a pecan pie , which everyone loves !",everyone says my pecan pie is the best they have ever had .
"nice , i enjoy fishing but weather is not the best right now .",i love to fish .
i have 4 and now the cat !,i recently got a cat .
i m on my way to uc santa cruz where i was accepted .,i am in school .
"i love colorado , next week i am going to canada to visit my sister .",every fall i visit my sister in canada .
i am cooking . i am using food that i grown myself .,i like to cook with food i grow in my garden .
"nice when on break , i participate in community theater . . . its not real acting though p .",i do community theater when i am not in school .
when i was younger i was a huge superman .,i use to be a huge superman fan as a child .
haha i am a small town girl . . . living in a lonely world haha .,i live in a small town .
"oh i bet . sorry i did not give my name , its tom .",my name is tom .
good idea the neighborhood we live in is bad so its scary .,i live in a bad neighborhood .
i do ! my husband helps out a lot too .,i have a lot of kids .
that is interesting . maybe you can come watch me cut down tree with my large ax !,i love to cut down trees .
i like a lot of music especially britney spears .,my favorite singer is britney spears .
i totally believe you . i love working out .,i obsess over working out and being the best .
ic i would like to travel the world someday any places you think i should visit .,i hope to travel the world one day .
i like to sing so i am in chorus at school .,i sing in the school chorus .
i love going to new york .,my favorite city is new york .
"i am thinking chocolate , i love sweets . my car is even candy painted .",i want candy .
i agree . he goes everywhere . he even tries to play football with me .,i like to play football .
"i am slightly overweight , but my doctors say i m healthy .",i am overweight .
that sounds like fun . i am currently into silicon valley .,my favorite tv show is silicon valley .
"not bad , i can not wait to raise hell .",i plan to raise hell and sew my wild oats .
so unhealthy . i happen to be a fruitarian . i grow most of my food .,i am a fruitarian .
"i am ok , just go off work i am a nurse in an emergency room . how are you ?",i am a nurse and work in an emergency room at a busy hospital .
"i like to paint walls , working on a blue room now .",my favorite color is blue .
that s awesome ! i can t run that long due to my asthma .,i have asthma .
i once drove a car ! my friend told me what to do while i drove .,i am into expensive cars .
i was at the mall today and bought a sweater . its too small now .,that thing is not large enough .
my sister has children .,my sister has lots of kids .
i enjoy going to theaters to watch magic mike .,magic mike is my favorite movie .
"i will bring my pink swimsuit , my pink towel , my pink beach ball . . .",i love the color pink .
hi there . i am a music teacher . what do you do ?,i want to be a music teacher .
"i enjoy being with kids , perhaps that may help with depression .",i love kids .
i am not a baseball player but i do like watching football and hockey .,i enjoy watching football and hockey games .
awe . i usually eat breakfast then go back to bed . i should go and exercise more .,i eat breakfast then go right back to bed .
i do what i enjoy right now . i only have a few months to live .,my doctor told me i have six months to live .
i draw during classes instead of taking notes .,i am a student at michigan state university .
i also have really long finger nails .,i have long fingers .
"and , i just told my parents i want to transition to female .",i identify as trans .
"gotcha ! my girlfriend goes to church , but i still love here .",i love my girlfriend .
i agree ! i love that the weather is getting colder .,i love cold weather .
i enjoy eating food too ! i love cake !,eating is something i enjoy .
"i have not done that , because i am young and my mom is a busy teacher .",my mother is a teacher .
i like trucks that sell food .,i think food trucks are awesome .
i am only 22 i hope they do not drive me crazy lol .,i am twenty two years old .
"i do a few things , another is an aspiring writer .",i am an aspiring writer .
i live in georgia and yourself .,i am from georgia .
right on ! i like taking walks late at night .,i enjoy taking late night walks when it s completely dark .
i love my son his 18 .,i have an 18 year old son .
do you like to gamble ? i was a casino owner at one time .,i used to own a casino .
that is great ! i enjoy swimming . i used to be really good in college .,i could have swam in the olympics .
i love chocolate . i am a bit annoyed with my coworker .,i m angry at my coworker .
"yep , my mom , she was a teacher , at the parish on sundays .",my mother was a sunday school teacher .
i was a business major just got out of school so anything business related .,so i started a small business .
me is drawing people and mountain biking .,i like to draw other people .
"me too , i am always late for class .",i am often late for class .
"but i moved to idaho when i was 9 , i work on a potato farm out here .",i live on a small farm .
"tracy was my moms name , i eat meat .",i am a meat eater .
"i attend debutante balls , and drink wine and hang out with my dog .",i own a french bulldog .
why is that ? my mom came from greece .,my mother is from greece .
i have a little farm with lots of cattle .,i own a small farm where i herd cattle .
oh you know that i scrub my skin so hard shower and makes red .,when i shower my skin is nearly red from how hard i scrub .
"they sure do , i am retired computer programmer so i go all out .",i am a retired computer programmer .
i teach it in my class . do you enjoy horror movies ? i do .,i would prefer to watch a movie about monsters over something romantic .
i am doing good ! i live near the beach and went surfing today . ca not complain !,i love to surf .
i studied finance and now work in it .,i work in finance .
"sometimes , when i am bored , i ride my moped .",i drive a moped .
nothing wrong with that . that is why i only make steak for myself .,my favorite food is steak .
"that must be stressful , i have to be alone sometimes because of my anxiety .",i want to be alone sometimes .
"too bad , i like pickles , it contrasts nicely with my red hair .",i have red hair .
i hang out with mine on weekends sometimes .,on weekends i go out with friends .
green is my favorite color !,my favorite color is hunter green .
"yea , dads in jail , i had to go on welfare to survive . feel like a losser .","i went on welfare last month , which makes me want to run into traffic in front of big trucks ."
i will never grow up ! my favorite food is still cheetos !,i like to eat cheetos .
i have two pet dogs .,i have two chiuahuahs .
"wow , sounds cool , i am always moving if i work hard maybe i can fix the world .",i think if i work hard enough i can fix the world .
they are good ! i have two of them . it is difficult in a wheel chair .,i need a wheel chair to get around .
nice but do you play video games ? i do .,i enjoy playing guitar and video games .
i do not eat meat or anything made from animals .,i ve been a vegan since i was 5 .
i cannot leave my kids ! at home or the ones i teach !,i love kids .
well i am pretty bored . lol i live on my computer .,i sit on my computer for several hours a day .
just been working a lot . been with the company for 7 years now and i am burnt out .,i have been at my job for seven years .
diving free is what i do on my free time too .,i like free diving .
"hi , how are you ? i have been busy playing games at the arcade .","i play games at the arcade , still ."
it is really good ! my mom grew up in greece .,my mother is from greece .
awesome . do you have any pets ?,i do not own any pets .
oh wow ! that sounds a whole lot more fun then going mushroom hunting with my paps .,paps likes to go mushroom hunting .
ll i guess i do not . rather do beer and pizza with a campfire .,i enjoy a few brews by the river .
"i am bill , never knew why they call me that when my name william .","my name is william , but people call me bill ."
i have a sensible car .,i have a brand new chevrolet .
"right , i forgot . sorry , so busy with these house projects !",i have a house .
ah . one of my 3 children broke mine .,i have three children .
i think they wanted kids . . .,i do not like kids .
"surfing is my passion , tho not my job .",i like to surf .
"i could use a new computer , mine like my favorite movie is gone with the wind .",my favorite movie is gone with the wind .
i enjoy seeing japanese cartoons .,i enjoy watching animated films .
purple is one of my favorite colors .,i like warm colors .
i like to keep a healthy life style . so my house is always tidy .,i eat well .
"i have two pets , one cat and one dog .",we have two pets as well .
me and my lizards sometimes watch tv .,i like lizards .
i see . i turn to football when i need a break .,i like football .
"that is fantastic ! i have a twin brother , and we share an apartment .",my twin brother and i share an apartment .
"besides a lot of volunteering , i go to a stand up to tell all my jokes .",on the weekends i help out at a homeless shelter .
i bet that is beautiful i love visiting my parents farm for pictures .,i grew up on a farm .
i enjoy it . i used it to count cards in blackjack .,i know how to count cards in blackjack .
sometimes i go to the mall but mostly come home do chores and play video games .,i like video games .
i love foreign horror ! much scarier .,i watch foreign movies and tv shows .
he did ! glad you got the joke . most people do not get my jokes .,i tell bad jokes on purpose .
i work at the museum downtown . i love it there .,i work at a museum .
now i also work at a bank .,i work at the local bank .
my wife always puts a smile on my face .,my wife doesn t like me anymore .
"oh , nice ! i have family in florida . i actually learned to pilot planes there .",i know how to pilot a plane .
no i live in the suburbs . i have a girlfriend .,i don t treat my girlfriend very well .
i m from california .,i am from california .
yeah i hate country music but i drive a ford . how ironic is that !,i drive a ford truck .
"i am a sort of jack of all trades , i do odd jobs here and there .","i am a jack of all , master of none ."
that is cool . i am an environmentalist .,i am committed to the environment .
i sell paper products for a living .,i sell real estate and wait tables on the weekends .
"since i run a daycare , i have a van .",i work at a daycare .
hello from kansas ! its farmer bill .,i live in kansas .
i watch television .,i like watching the walking dead .
"funny except my dog and i are both short , so we get lost in the snow .",i like puppies .
"i would not think so , but apparently its intimidating to some .",friends always ask me to reach things in high places .
"as a child , i won a national spelling bee .",i am very intelligent .
"hopefully the one i meet loves to read too and will not take me for pizza , so gross .",i can t stand pizza .
summer is my favorite season .,my favorite season is summer .
i sometimes drive fast .,i like being in my car for long periods of time .
"me too , i am actually colorblind . there is a lot i cant see .",i cannot see the difference between blue and purple .
i work for an insurance agency .,i work as a secretary at an insurance agency .
i am doing just great enjoying some alternative rock now .,i like alternative rock .
"i am well , thank you . just posted a new pic on facebook .",i think posting pics on facebook of my everyday life is fun .
"hey ! jefferson here , i adore nickelback !",my favorite band is nickelback .
no . just singing . and i feel bad i treat my girlfriend poorly .,i love to sing .
well that is cause you care what people think . i do not .,i am not afraid of what others think .
"i used to , but i have been in a couple car crashes .",i have been in 2 car crashes in my life .
a year . i play video games in my spare time . my character is pretty good .,i am a famous video game character online .
oh that is great ! my cat on the other hand cannot stand her leash .,i like cats .
"congrats on the weight loss , i am also vegan .",i am a vegan .
it is a good break from my 40 hour a week job . what do you do ?,i work 40 hours a week .
i love meat ! especially in italian food . whats your favorite food ?,i eat italian food more than anything else .
i enjoy watching netflix with family .,i spend a lot of time using netflix .
i read minimum 3 books a week and t came from game of thrones .,i learned how to reads when i was three .
my mother wanted me to be a nurse which is what she was .,my mom was a rn .
that reminds me of spicy food .,i like spicy food .
"for sure ! i hate it when i drop them in my mercedes though , what a mess !",i drive a mercedes .
my mom lives with me .,my mother raised me since my father left when i was five years old .
nothing to really brag about . i just like to play video games lol .,i play video games all day .
i am a librarian in my current job .,i work as a librarian .
do you paint your nails to match your role . i do mine green .,i wanted something other than red to color my fingers .
i used to be the clown but now i am in reality tv .,i worked as a clown in the circus .
"no , i don t play , i just like to bet at the casino way too much .",i sometimes spend too much money at the casino .
i did publish some but was rejected and thought i should give up . baseball !,i ve been rejected several times and thought of giving up with this .
least you tried . i have liked classic rock for a long time .,i listen to classic rock .
it was cheap to have her do it . my coffee shop job does not pay well .,i work at a coffee shop .
"we have 3 pets in the house , one of them is mine .",my pets sleep on the same bed as me .
my dad told me the meat in the military is awful .,my father was also in the military .
"cool , as a librarian , i see lots of people coming in to access fb .",i am a librarian in my current job .
"ok , i am still wondering how i can read french but not write it .",i learned how to reads when i was three .
"that is fun , i am really into watching csi . my parents are actually lawyers .",my favorite show is csi .
what do you do ? i myself an a national guard office in public affairs liaison .,i work as a public affairs liaison .
you should walk more often especially on sunny days .,i enjoy reading and walking on sunny days .
unfortunately just sales . giving the best advise is the right thing to do .,i work in sales .
"just my dog , he is my best friend too .",my dog is my best friend .
i am a very shy person and can avoid human contact for days .,i am very shy .
that would make it hard to watch game shows .,i love to watch game shows .
that is the theater next to the mcdonald that i work at .,i work at mcdonald .
hi . doing well . sleeping off a girls night out . apple martinis are awesome .,i drink a lot of apple martinis when i get a girls night out .
i am a real tall woman but my stove is short . i need to be higher .,i wonder what it feels like to be a short lady ?
what is the name of it ? i do not like the dark .,i am afraid of the dark .
i love tedious reconciliations . i love to dance more than anything .,i like to dance .
a book on veganism . i turned vegan recently .,i am a vegan .
that is awesome i am very quiet .,i am a wallflower but i am not insecure .
netflix is my favorite channel .,i like to watch shows on netflix .
my horse never talks back to me .,i named my clydesdale mr ed .
that is awesome . i am lead in a grunge band . its like my kids .,my sister and i are in a grunge band .
i go for runs with my dog every day .,i love my dog .
maybe ! i bring cheeseburgers and my bandmates to jam out at the lake .,my favorite food is cheeseburgers .
i do not work . i tell jokes .,i tell bad jokes on purpose .
my name is jeremiah and i have this weird fetish for honey .,i love honey .
oh wow that is awesome what is favorite football team .,i like football .
not really . i study law though . i am a grad student .,i am a graduate student studying law .
"i am fine tonight . do you drive to work , i hate traffic .",traffic makes me mad .
sounds like we have got that in common . my depression is bad so i do not get out much .,i have depression and anxiety so i do not really go out a lot .
mmmm ! and he tucks me into my princess bed !,i sleep in a princess bed .
i do the only thing i really despise is sweet potatoes ! !,i despise sweet potatoes .
"lol . my dog is awesome , and i am a pagan .",my puppy picked my two soulmates .
lol i love ford trucks .,i own a ford truck .
i am not sure i was in slavery .,i was a slave for 10 years .
are you a student or do you work .,i am a student .
i have a gambling problem .,i like to gamble .
yes . i am an artist . i paint with my mind and my hands .,i am an artist and create with my mind and my hands .
"i like watching baseball , also any other kind of sports .",i like watching sports .
"that sucks , i work as an affairs liaison for the public .",i work as a public affairs liaison .
i love animals . i am a dog walker now hope to be a veterinarian someday .,i really want to be an animal doctor .
yes ! you can help with my self driving car research .,i started working at google last week on self driving car research .
my favorite meal is ice cream and you can not plant that .,my favourite food is ice cream .
who cares i ami am bored by my maids and they don t make good cheesecake .,i am bored of my maids .
i like to swim . and then eat salty potato chips and drink coffee while sunning .,coffee is important to me .
video games are fun . i always admire the art . . . i am not a very good artist .,i am not a good artist .
summer is my favorite season . yours ?,my favorite season is winter .
"i am sorry . i just live with my dogs , still dream of being an astronaut .",working in outer space would be awesome !
"lol , i am just weird in general since i am classified as a genius .",i am a genius .
"i am ok , need a shower though . my feet stink !",i have foot odor .
yes but i would rather go hiking .,i like to go hiking on the weekends .
well my mom and now they have a european accent .,"while both my parents have thick european accents , i do not ."
"hello there , i work in a hospital . how do you like the hotel .",i work at a hospital .
i have everything money can buy . . . what do i do with all this money .,i have more money than i know what to do with .
my favorite book to read on vacation is the bible .,my favorite book is the bible .
i like walking cemeteries and thinking about the people who used to live .,i like to walk .
i do not have any children and yet i live by a park .,i do not have any children .
awesome ! i hanging out with my 10 cats .,i own 10 cats .
mad because i keep on talking to my horse and he will not answer back .,my horse never talks back to me .
i am happy a lot of the time .,i am happy .
i would be scared reading his novels on my boat lol .,i own a boat .
i am a classicly trained chef .,i am a classily trained chef .
all the time . its funny . my fear of heights i am trying to get over .,my biggest fear in life is heights .
i am not either and i am living alone .,i live alone .
what kind of food i love chicken and rice .,my favorite meal is chicken and rice .
"oh , i wish i could go dancing , i am currently writing a ebook .",i am trying to write an ebook on animals .
really ? i love to go dancing . it is what i do on my weekends .,dancing is fun to me .
"oh that is cool , i am not married so i spend time at the lake alone mostly .",i like to go to the lake .
"i am deaf , all i do is watch shows on netflix with captions on .",i like to watch shows on netflix .
"if i had a job i could have money , lol smh .",i am in tight budget .
i understand that but i really do love all types of animals .,i love animals .
my whole precious family that i really love is .,my family is very important to me .
that nice i spend my days on my boat .,i own a boat .
happily married to my beautiful wife for 15 years this winter .,i am married with three kids .
i love eating at mcdonald .,my guilty pleasure is mcdonald s .
i am blue and tall .,i am tall and blonde .
i want to be a singer .,i am an aspiring singer .
you could play with my snakes .,i own two snakes .
wow cool . what do you do in your spare time . i work on art projects .,i enjoy making things artistically .
i have a mild case of ocd since college .,i was diagnosed with mild ocd in college .
should be in nascar . better than a masters in education .,i have a masters degree .
i am getting ready to head to college . how long have you been studying ?,i always had excellent grades so i think i will get into a good college .
"hi names jane , and am a wife , married for 35 years to a wonderful man ! !",this our fifth year anniversary .
o wow yea i been busy unpacking i just bought my home .,i just bought my first home .
"yes , pizza is my vice ! sour candy is good , also .",i eat dominos every day .
i like snickers bar .,i love candy .
hi there what video games do you play ?,i play video games all day .
"how about pizza . i love pizza , i cannot imagine that anyone would hate that . . .",my favorite food is pizza .
i am a pediatrician . i have got my own practice taking care of kids .,i am a pediatrician .
hello i am great how are you .,my friends don t call my by my real name .
